Experiment,Dataset,FeatureSet,FeatureCount,Model,Target,N_Train,N_Validation,N_Test,Positive_Train,Positive_Validation,Positive_Test,BestValidationAUC,RemovedLeakageCols,BestParams,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC
A_FreqGE2_rfm_Logistic_Churn_30,A_FreqGE2,rfm,7,Logistic,Churn_30,2276,456,569,1118,224,280,0.7147282943349754,Recency,"{""C"": 0.07453892933860194}",0.6608084358523726,0.6494845360824743,0.675,0.6619964973730298,0.7343178447849729
A_FreqGE2_rfm_RandomForest_Churn_30,A_FreqGE2,rfm,7,RandomForest,Churn_30,2276,456,569,1118,224,280,0.7438808497536946,Recency,"{""n_estimators"": 300, ""max_depth"": 5, ""min_samples_split"": 8, ""min_samples_leaf"": 7, ""max_features"": null}",0.687170474516696,0.6401098901098901,0.8321428571428572,0.7236024844720497,0.7662382600098863
A_FreqGE2_rfm_XGBoost_Churn_30,A_FreqGE2,rfm,7,XGBoost,Churn_30,2276,456,569,1118,224,280,0.7513277401477833,Recency,"{""n_estimators"": 300, ""max_depth"": 3, ""learning_rate"": 0.012110483604342184, ""subsample"": 0.7162108283877406, ""colsample_bytree"": 0.9161972801967139, ""min_child_weight"": 7.408801839351904, ""reg_alpha"": 0.004067896664317007, ""reg_lambda"": 3.2710494894861064}",0.6889279437609842,0.6403269754768393,0.8392857142857143,0.7264296754250387,0.7682402372713791
A_FreqGE2_rfm_CatBoost_Churn_30,A_FreqGE2,rfm,7,CatBoost,Churn_30,2276,456,569,1118,224,280,0.7489993842364533,Recency,"{""iterations"": 200, ""depth"": 6, ""learning_rate"": 0.010139479822165289, ""l2_leaf_reg"": 7.860933466858115, ""random_strength"": 0.4707330461607442}",0.6889279437609842,0.6458923512747875,0.8142857142857143,0.7203791469194313,0.7662506178942164
A_FreqGE2_rfm_hci_Logistic_Churn_30,A_FreqGE2,rfm_hci,34,Logistic,Churn_30,2276,456,569,1118,224,280,0.7411676416256159,Recency,"{""C"": 0.03473382400677129}",0.664323374340949,0.656140350877193,0.6678571428571428,0.6619469026548672,0.7297701433514583
A_FreqGE2_rfm_hci_RandomForest_Churn_30,A_FreqGE2,rfm_hci,34,RandomForest,Churn_30,2276,456,569,1118,224,280,0.7913523706896552,Recency,"{""n_estimators"": 700, ""max_depth"": 7, ""min_samples_split"": 3, ""min_samples_leaf"": 6, ""max_features"": null}",0.6854130052724078,0.6455331412103746,0.8,0.7145135566188198,0.7546280276816609
A_FreqGE2_rfm_hci_XGBoost_Churn_30,A_FreqGE2,rfm_hci,34,XGBoost,Churn_30,2276,456,569,1118,224,280,0.801397013546798,Recency,"{""n_estimators"": 800, ""max_depth"": 2, ""learning_rate"": 0.032034784515162056, ""subsample"": 0.6014562981232444, ""colsample_bytree"": 0.617976167901816, ""min_child_weight"": 7.882216199630209, ""reg_alpha"": 0.9491108101689919, ""reg_lambda"": 0.5808170514434042}",0.6766256590509666,0.6463414634146342,0.7571428571428571,0.6973684210526315,0.7461072664359861
A_FreqGE2_rfm_hci_CatBoost_Churn_30,A_FreqGE2,rfm_hci,34,CatBoost,Churn_30,2276,456,569,1118,224,280,0.7993957820197044,Recency,"{""iterations"": 600, ""depth"": 7, ""learning_rate"": 0.010125136511787505, ""l2_leaf_reg"": 7.184792873066897, ""random_strength"": 1.1606630961045998}",0.6942003514938488,0.6606060606060606,0.7785714285714286,0.7147540983606557,0.7618017795353436
A_FreqGE2_rfm_Logistic_Churn_60,A_FreqGE2,rfm,7,Logistic,Churn_60,2276,456,569,705,141,176,0.7468647979286277,Recency,"{""C"": 0.0012666337284957846}",0.6731107205623902,0.4823943661971831,0.7784090909090909,0.5956521739130435,0.7515035854730512
A_FreqGE2_rfm_RandomForest_Churn_60,A_FreqGE2,rfm,7,RandomForest,Churn_60,2276,456,569,705,141,176,0.777665203197118,Recency,"{""n_estimators"": 200, ""max_depth"": 5, ""min_samples_split"": 4, ""min_samples_leaf"": 1, ""max_features"": ""log2""}",0.6889279437609842,0.498220640569395,0.7954545454545454,0.612691466083151,0.7789006476983575
