Experiment,Dataset,Target,FeatureSet,Model,Split,Accuracy,Precision,Recall,F1,AUC
A_FreqGE2_rfm_Logistic_Churn_30,A_FreqGE2,Churn_30,rfm,Logistic,Training,0.6682776801405975,0.6460176991150443,0.7182468694096601,0.6802202456586193,0.7256041042943079
A_FreqGE2_rfm_Logistic_Churn_30,A_FreqGE2,Churn_30,rfm,Logistic,Validation,0.6513157894736842,0.6245210727969349,0.7276785714285714,0.6721649484536083,0.7147282943349754
A_FreqGE2_rfm_Logistic_Churn_30,A_FreqGE2,Churn_30,rfm,Logistic,Test,0.6608084358523726,0.6494845360824743,0.675,0.6619964973730298,0.7343178447849729
A_FreqGE2_rfm_RandomForest_Churn_30,A_FreqGE2,Churn_30,rfm,RandomForest,Training,0.7302284710017575,0.6709633649932157,0.8846153846153846,0.7631172839506173,0.8160521347953569
A_FreqGE2_rfm_RandomForest_Churn_30,A_FreqGE2,Churn_30,rfm,RandomForest,Validation,0.6842105263157895,0.6273885350318471,0.8794642857142857,0.7323420074349443,0.7438808497536946
A_FreqGE2_rfm_RandomForest_Churn_30,A_FreqGE2,Churn_30,rfm,RandomForest,Test,0.687170474516696,0.6401098901098901,0.8321428571428572,0.7236024844720497,0.7662382600098863
A_FreqGE2_rfm_XGBoost_Churn_30,A_FreqGE2,Churn_30,rfm,XGBoost,Training,0.7223198594024605,0.6644113667117727,0.8783542039355993,0.7565485362095532,0.7959562628799886
A_FreqGE2_rfm_XGBoost_Churn_30,A_FreqGE2,Churn_30,rfm,XGBoost,Validation,0.6885964912280702,0.632258064516129,0.875,0.7340823970037453,0.7513277401477833
A_FreqGE2_rfm_XGBoost_Churn_30,A_FreqGE2,Churn_30,rfm,XGBoost,Test,0.6889279437609842,0.6403269754768393,0.8392857142857143,0.7264296754250387,0.7682402372713791
A_FreqGE2_rfm_CatBoost_Churn_30,A_FreqGE2,Churn_30,rfm,CatBoost,Training,0.7297891036906854,0.674774148714385,0.868515205724508,0.7594837700430191,0.815271225139884
A_FreqGE2_rfm_CatBoost_Churn_30,A_FreqGE2,Churn_30,rfm,CatBoost,Validation,0.6951754385964912,0.639344262295082,0.8705357142857143,0.7372400756143668,0.7489993842364533
A_FreqGE2_rfm_CatBoost_Churn_30,A_FreqGE2,Churn_30,rfm,CatBoost,Test,0.6889279437609842,0.6458923512747875,0.8142857142857143,0.7203791469194313,0.7662506178942164
A_FreqGE2_rfm_hci_Logistic_Churn_30,A_FreqGE2,Churn_30,rfm_hci,Logistic,Training,0.6849736379613357,0.6644790812141099,0.7245080500894454,0.693196405648267,0.7599347774368861
A_FreqGE2_rfm_hci_Logistic_Churn_30,A_FreqGE2,Churn_30,rfm_hci,Logistic,Validation,0.6754385964912281,0.6544715447154471,0.71875,0.6851063829787234,0.7411676416256159
A_FreqGE2_rfm_hci_Logistic_Churn_30,A_FreqGE2,Churn_30,rfm_hci,Logistic,Test,0.664323374340949,0.656140350877193,0.6678571428571428,0.6619469026548672,0.7297701433514583
A_FreqGE2_rfm_hci_RandomForest_Churn_30,A_FreqGE2,Churn_30,rfm_hci,RandomForest,Training,0.8224956063268892,0.7605839416058394,0.9320214669051878,0.837620578778135,0.9133414282227392
A_FreqGE2_rfm_hci_RandomForest_Churn_30,A_FreqGE2,Churn_30,rfm_hci,RandomForest,Validation,0.6973684210526315,0.6433333333333333,0.8616071428571429,0.7366412213740458,0.7913523706896552
A_FreqGE2_rfm_hci_RandomForest_Churn_30,A_FreqGE2,Churn_30,rfm_hci,RandomForest,Test,0.6854130052724078,0.6455331412103746,0.8,0.7145135566188198,0.7546280276816609
A_FreqGE2_rfm_hci_XGBoost_Churn_30,A_FreqGE2,Churn_30,rfm_hci,XGBoost,Training,0.8101933216168717,0.7618320610687023,0.8926654740608229,0.8220757825370676,0.9007557289880462
A_FreqGE2_rfm_hci_XGBoost_Churn_30,A_FreqGE2,Churn_30,rfm_hci,XGBoost,Validation,0.706140350877193,0.6618705035971223,0.8214285714285714,0.7330677290836654,0.801397013546798
