성과사업명,가중논문수,가중특허수,Y_총가중성과
개인기초연구(과기정통부)(R&D),44877.46722222222,19633.09223997145,64510.559462193676
개인기초연구(과기정통부),27817.322279942277,11572.449543234543,39389.77182317682
BK21플러스사업(0.5),15525.4,10905.5,26430.9
BK21플러스사업(R&D),15597.0,10556.016666666666,26153.016666666666
개인기초연구(교육부)(R&D),16139.813347763347,6395.05658952381,22534.869937287156
4단계두뇌한국21사업(R&D),12454.276666666667,6858.213331,19312.489997666667
이공학학술연구기반구축,11488.214563769563,4485.292164502164,15973.506728271728
집단연구지원(R&D),9394.991594516594,4473.222046979365,13868.213641495959
이공학학술연구기반구축(R&D),10165.149033189033,3694.2644386015872,13859.41347179062
집단연구지원,9236.382024087023,4418.184669219669,13654.566693306691
개인기초연구(미래부),8755.704712509712,4499.967142857143,13255.671855366854
이공학개인기초연구지원,9018.493099567098,3950.910476190476,12969.403575757575
중견연구자지원,7841.993083694083,4378.8219044285715,12220.814988122655
개인연구지원,7875.63753968254,4058.924285714286,11934.561825396826
소재부품기술개발,1781.9558730158728,9762.661738816738,11544.617611832611
4단계두뇌한국21사업,6934.5,4070.233333333333,11004.733333333334
국방기술개발,1680.4464285714284,7835.3833233333335,9515.829751904763
개인기초연구(교육부),5908.291194916194,2829.030909090909,8737.322104007104
BK21플러스사업,5034.0,3340.6666666666665,8374.666666666666
바이오.의료기술개발(R&D),3730.940079365079,4489.339527307936,8220.279606673015
방송통신산업기술개발,723.0095238095238,6276.471904761905,6999.481428571428
일반연구자지원,4789.351885281385,1559.212238095238,6348.564123376623
소재부품기술개발(R&D),853.9627777777778,5408.083109142857,6262.045886920635
정보통신기술인력양성,1431.3361904761905,4570.1793333333335,6001.515523809524
신진연구자지원,4263.010262626262,1535.1106666666667,5798.120929292929
창업성장기술개발,38.4,5584.0,5622.4
산학연협력기술개발,51.96666666666667,5284.15,5336.116666666666
한국전자통신연구원연구개발지원,388.4011904761905,4676.173333333333,5064.574523809523
질환극복기술개발,3176.931747474747,1542.6195238095238,4719.551271284271
SW컴퓨팅산업원천기술개발,561.6211904761905,4071.3766666666666,4632.997857142857
